LE TOUVET;2;406.25;38660
FONTENAY-SOUS-BOIS;6;859.1;94120
COMPIEGNE;3;496.25;60200
CHEVREUSE;3;898.96;78460
METZ;32;8118.620000000001;57070
SAINT-GERMAIN-EN-LAYE;4;1047.13;78100
BOUCAU;7;1005;64340
MANTHELON;1;130;27240
ANDERNOS-LES-BAINS;9;1800;33510
ORVAL;1;502.13;18200
ANGOULEME;13;4202.5;16000
COUTHENANS;1;150;70400
MAMERS;2;356.25;72600
DENAIN;3;440;59220
SAINT-LOUIS;11;2274.63;68300
PALAVAS-LES-FLOTS;4;575;34250
CHALON-SUR-SAÔNE;6;1815.5100000000002;71100
MONTROUGE;12;3691.25;92120
LA MONTAGNE;1;150;44620
CONFLANS-SAINTE-HONORINE;3;130;78700
SAINT-REMY-LES-CHEVREUSE;2;150;78470
MAULE;2;32.5;78580
LONGWY;5;866.25;54400
SCHWEIGHOUSE-SUR-MODER;1;816.97;67590
LE POIRE-SUR-VIE;1;0;85170
HAGONDANGE;2;345;57300
UCKANGE;1;150;57270
VANVES;4;130;92170
AURILLAC;1;424.63;15000
CARRY-LE-ROUET;6;1350.88;13920
BREST;27;6691.06;29200
VILLEFRANCHE-DE-ROUERGUE;1;130;12200
AURAY;6;1346.25;56400
FAULQUEMONT;4;625;57380
EVRON;1;130;53600
SAINTE-GENEVIEVE-DES-BOIS;2;269.1;91700
ORANGE;6;940.13;84100
VALLAURIS;3;728;06220
BOLLENE;2;280;84500
BOBIGNY;4;1265;93000
BRIANCON;2;356.25;05100
MAGENTA;2;315;51530
TOULOUSE;50;11239.269999999999;31400
DEUIL-LA-BARRE;4;430;95170
ECARDENVILLE-SUR-EURE;1;130;27490
FORT-MARDYCK;1;150;59760
CORBEIL-ESSONNES;7;5852.83;91100
BERGERAC;8;3553.48;24100
BAVILLIERS;1;139.1;90800
MARSEILLAN;4;645;34340
GUER;2;310;56380
BELLAC;1;360.38;87300
SAINT-MARTIN-DE-CRAU;6;1605.22;13310
CHATOU;3;90;78400
BOIS-COLOMBES;8;590;92270
SAINT-GILLES;6;1851.52;30800
MARTIGUES;7;1140;13500
MORLANCOURT;1;502.67;80300
LISIEUX;1;0;14100
